Signal,Type,DataType,Deprecated,Unit,Min,Max,Desc,Comment,Allowed,Default,Instances
Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid,branch,,,,,,Signals related to Diesel Exhaust Fluid (DEF). DEF is called AUS32 in ISO 22241.,In retail and marketing other names are typically used for the fluid.,,,[]
Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Capacity,attribute,float,,l,,,Capacity in liters of the Diesel Exhaust Fluid Tank.,,,,
Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Level,sensor,uint8,,percent,0,100,Level of the Diesel Exhaust Fluid tank as percent of capacity. 0 = empty. 100 = full.,,,,
Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.Range,sensor,uint32,,m,,,Remaining range in meters of the Diesel Exhaust Fluid present in the vehicle.,,,,
Vehicle.Powertrain.CombustionEngine.DieselExhaustFluid.IsLevelLow,sensor,boolean,,,,,Indicates if the Diesel Exhaust Fluid level is low. True if level is low. Definition of low is vehicle dependent.,,,,
Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter,branch,,,,,,Diesel Particulate Filter signals.,,,,[]
Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.InletTemperature,sensor,float,,celsius,,,Inlet temperature of Diesel Particulate Filter.,,,,
Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.OutletTemperature,sensor,float,,celsius,,,Outlet temperature of Diesel Particulate Filter.,,,,
Vehicle.Powertrain.CombustionEngine.DieselParticulateFilter.DeltaPressure,sensor,float,,Pa,,,Delta Pressure of Diesel Particulate Filter.,,,,
Vehicle.Powertrain.Transmission,branch,,,,,,"Transmission-specific data, stopping at the drive shafts.",,,,[]
Vehicle.Powertrain.Transmission.Type,attribute,string,,,,,Transmission type.,,"['UNKNOWN', 'SEQUENTIAL', 'H', 'AUTOMATIC', 'DSG', 'CVT']",UNKNOWN,
Vehicle.Powertrain.Transmission.GearCount,attribute,int8,,,,,Number of forward gears in the transmission. -1 = CVT.,,,0,
Vehicle.Powertrain.Transmission.DriveType,attribute,string,,,,,Drive type.,,"['UNKNOWN', 'FORWARD_WHEEL_DRIVE', 'REAR_WHEEL_DRIVE', 'ALL_WHEEL_DRIVE']",UNKNOWN,
Vehicle.Powertrain.Transmission.TravelledDistance,sensor,float,,km,,,"Odometer reading, total distance travelled during the lifetime of the transmission.",,,,
Vehicle.Powertrain.Transmission.CurrentGear,sensor,int8,,,,,"The current gear. 0=Neutral, 1/2/..=Forward, -1/-2/..=Reverse.",,,,
Vehicle.Powertrain.Transmission.SelectedGear,actuator,int8,,,,,"The selected gear. 0=Neutral, 1/2/..=Forward, -1/-2/..=Reverse, 126=Park, 127=Drive.",,,,
Vehicle.Powertrain.Transmission.IsParkLockEngaged,actuator,boolean,,,,,Is the transmission park lock engaged or not. False = Disengaged. True = Engaged.,,,,
Vehicle.Powertrain.Transmission.IsLowRangeEngaged,actuator,boolean,,,,,Is gearbox in low range mode or not. False = Normal/High range engaged. True = Low range engaged.,The possibility to switch between low and high gear range is typically only available in heavy vehicles and off-road vehicles.,,,
Vehicle.Powertrain.Transmission.IsElectricalPowertrainEngaged,actuator,boolean,,,,,Is electrical powertrain mechanically connected/engaged to the drivetrain or not. False = Disconnected/Disengaged. True = Connected/Engaged.,In some hybrid solutions it is possible to disconnect/disengage the electrical powertrain mechanically to avoid induced voltage reaching a too high level when driving at high speed.,,,
Vehicle.Powertrain.Transmission.PerformanceMode,actuator,string,,,,,Current gearbox performance mode.,,"['NORMAL', 'SPORT', 'ECONOMY', 'SNOW', 'RAIN']",,
Vehicle.Powertrain.Transmission.GearChangeMode,actuator,string,,,,,Is the gearbox in automatic or manual (paddle) mode.,,"['MANUAL', 'AUTOMATIC']",,
Vehicle.Powertrain.Transmission.Temperature,sensor,float,,celsius,,,The current gearbox temperature.,,,,
Vehicle.Powertrain.Transmission.ClutchEngagement,actuator,float,,percent,0,100,Clutch engagement. 0% = Clutch fully disengaged. 100% = Clutch fully engaged.,,,,
Vehicle.Powertrain.Transmission.ClutchWear,sensor,uint8,,percent,,100,Clutch wear as a percent. 0 = no wear. 100 = worn.,,,,
Vehicle.Powertrain.Transmission.DiffLockFrontEngagement,actuator,float,,percent,0,100,Front Diff Lock engagement. 0% = Diff lock fully disengaged. 100% = Diff lock fully engaged.,,,,
Vehicle.Powertrain.Transmission.DiffLockRearEngagement,actuator,float,,percent,0,100,Rear Diff Lock engagement. 0% = Diff lock fully disengaged. 100% = Diff lock fully engaged.,,,,
Vehicle.Powertrain.Transmission.TorqueDistribution,actuator,float,,percent,-100,100,"Torque distribution between front and rear axle in percent. -100% = Full torque to front axle, 0% = 50:50 Front/Rear, 100% = Full torque to rear axle.",,,,
Vehicle.Powertrain.ElectricMotor,branch,,,,,,Electric Motor specific data.,,,,[]
Vehicle.Powertrain.ElectricMotor.EngineCode,attribute,string,,,,,"Engine code designation, as specified by vehicle manufacturer.",,,,
Vehicle.Powertrain.ElectricMotor.MaxPower,attribute,uint16,,kW,,,"Peak power, in kilowatts, that motor(s) can generate.",,,0,
Vehicle.Powertrain.ElectricMotor.MaxTorque,attribute,uint16,,Nm,,,"Peak power, in newton meter, that the motor(s) can generate.",,,0,
Vehicle.Powertrain.ElectricMotor.MaxRegenPower,attribute,uint16,,kW,,,"Peak regen/brake power, in kilowatts, that motor(s) can generate.",,,0,
Vehicle.Powertrain.ElectricMotor.MaxRegenTorque,attribute,uint16,,Nm,,,"Peak regen/brake torque, in newton meter, that the motor(s) can generate.",,,0,
Vehicle.Powertrain.ElectricMotor.Speed,sensor,int32,,rpm,,,Motor rotational speed measured as rotations per minute. Negative values indicate reverse driving mode.,,,,
Vehicle.Powertrain.ElectricMotor.TimeInUse,sensor,float,,h,,,Accumulated time during engine lifetime when the vehicule state's is 'READY'.,Vehicles may define their READY state.,,,
Vehicle.Powertrain.ElectricMotor.Temperature,sensor,float,,celsius,,,Motor temperature.,,,,
Vehicle.Powertrain.ElectricMotor.CoolantTemperature,sensor,float,v5.0 moved to EngineCoolant.Temperature,celsius,,,Motor coolant temperature (if applicable).,,,,
Vehicle.Powertrain.ElectricMotor.EngineCoolant,branch,,,,,,Signals related to the engine coolant (if applicable).,,,,[]
Vehicle.Powertrain.ElectricMotor.EngineCoolant.Capacity,attribute,float,,l,,,Engine coolant capacity in liters.,,,,
Vehicle.Powertrain.ElectricMotor.EngineCoolant.Temperature,sensor,float,,celsius,,,Engine coolant temperature.,,,,
Vehicle.Powertrain.ElectricMotor.EngineCoolant.Level,sensor,string,,,,,Engine coolant level.,,"['CRITICALLY_LOW', 'LOW', 'NORMAL']",,
Vehicle.Powertrain.ElectricMotor.EngineCoolant.LifeRemaining,sensor,int32,,s,,,Remaining engine coolant life in seconds. Negative values can be used to indicate that lifetime has been exceeded.,In addition to this a signal a vehicle can report remaining time to service (including e.g. coolant change) by Vehicle.Service.TimeToService.,,,
Vehicle.Powertrain.ElectricMotor.Power,sensor,int16,,kW,,,Current motor power output. Negative values indicate regen mode.,,,,
Vehicle.Powertrain.ElectricMotor.Torque,sensor,int16,,Nm,,,Current motor torque. Negative values indicate regen mode.,,,,
Vehicle.Powertrain.TractionBattery,branch,,,,,,Battery Management data.,,,,[]
Vehicle.Powertrain.TractionBattery.Id,attribute,string,,,,,Battery Identification Number as assigned by OEM.,"This could be serial number, part number plus serial number, UUID, or any other identifier that the OEM want to use to uniquely identify the battery individual.",,,
Vehicle.Powertrain.TractionBattery.ProductionDate,attribute,string,,iso8601,,,"Production date of battery in ISO8601 format, e.g. YYYY-MM-DD.",,,,
Vehicle.Powertrain.TractionBattery.ErrorCodes,sensor,string[],,,,,"Current error codes related to the battery, if any.","Error code format is not defined, it may be DTCs according to OBD II (SAE-J2012DA_201812) standard ([P|C|B|U]XXXXX ) or any other format.",,,
Vehicle.Powertrain.TractionBattery.IsPowerConnected,sensor,boolean,,,,,Indicating if the power (positive terminator) of the traction battery is connected to the powertrain.,"It might be possible to disconnect the traction battery used by an electric powertrain. This is achieved by connectors, typically one for plus and one for minus.",,,
Vehicle.Powertrain.TractionBattery.IsGroundConnected,sensor,boolean,,,,,Indicating if the ground (negative terminator) of the traction battery is connected to the powertrain.,"It might be possible to disconnect the traction battery used by an electric powertrain. This is achieved by connectors, typically one for plus and one for minus.",,,
Vehicle.Powertrain.TractionBattery.Temperature,branch,,,,,,Temperature Information for the battery pack.,,,,[]
Vehicle.Powertrain.TractionBattery.Temperature.Average,sensor,float,,celsius,,,Current average temperature of the battery cells.,,,,
Vehicle.Powertrain.TractionBattery.Temperature.Min,sensor,float,,celsius,,,"Current minimum temperature of the battery cells, i.e. temperature of the coldest cell.",,,,
Vehicle.Powertrain.TractionBattery.Temperature.Max,sensor,float,,celsius,,,"Current maximum temperature of the battery cells, i.e. temperature of the hottest cell.",,,,
Vehicle.Powertrain.TractionBattery.Temperature.CellTemperature,sensor,float[],,,,,Array of cell temperatures. Length or array shall correspond to number of cells in vehicle.,Cells are identified by relative position in array.,,,
Vehicle.Powertrain.TractionBattery.CellVoltage,branch,,,,,,Voltage information for cells in the battery pack.,,,,[]
Vehicle.Powertrain.TractionBattery.CellVoltage.Min,sensor,float,,V,,,Current voltage of the battery cell with lowest voltage.,,,,
Vehicle.Powertrain.TractionBattery.CellVoltage.IdMin,sensor,uint16,,,,,Identifier of the battery cell with lowest voltage.,"Identifier is supposed to be relative index of the cell, starting with 0 the first cell.",,,
Vehicle.Powertrain.TractionBattery.CellVoltage.Max,sensor,float,,V,,,Current voltage of the battery cell with highest voltage.,,,,
Vehicle.Powertrain.TractionBattery.CellVoltage.IdMax,sensor,uint16,,,,,Identifier of the battery cell with highest voltage.,"Identifier is supposed to be relative index of the cell, starting with 0 the first cell.",,,
Vehicle.Powertrain.TractionBattery.CellVoltage.CellVoltages,sensor,float[],,,,,Array of cell voltages. Length or array shall correspond to number of cells in vehicle.,Cells are identified by relative position in array.,,,
Vehicle.Powertrain.TractionBattery.GrossCapacity,attribute,uint16,,kWh,,,Gross capacity of the battery.,,,,
Vehicle.Powertrain.TractionBattery.NetCapacity,sensor,uint16,,kWh,,,Total net capacity of the battery considering aging.,,,,
Vehicle.Powertrain.TractionBattery.StateOfHealth,sensor,float,,percent,0,100,Calculated battery state of health at standard conditions.,Exact formula is implementation dependent. Could be e.g. current capacity at 20 degrees Celsius divided with original capacity at the same temperature.,,,
Vehicle.Powertrain.TractionBattery.StateOfCharge,branch,,,,,,Information on the state of charge of the vehicle's high voltage battery.,,,,[]
Vehicle.Powertrain.TractionBattery.StateOfCharge.Current,sensor,float,,percent,0,100.0,"Physical state of charge of the high voltage battery, relative to net capacity. This is not necessarily the state of charge being displayed to the customer.",,,,
Vehicle.Powertrain.TractionBattery.StateOfCharge.Displayed,sensor,float,,percent,0,100.0,State of charge displayed to the customer.,,,,
Vehicle.Powertrain.TractionBattery.StateOfCharge.CurrentEnergy,sensor,float,,kWh,,,Physical state of charge of high voltage battery expressed in kWh.,Current energy could be calculated as .StateOfCharge.Current * .NetCapacity.,,,
Vehicle.Powertrain.TractionBattery.NominalVoltage,attribute,uint16,,V,,,Nominal Voltage of the battery.,Nominal voltage typically refers to voltage of fully charged battery when delivering rated capacity.,,,
Vehicle.Powertrain.TractionBattery.MaxVoltage,attribute,uint16,,V,,,"Max allowed voltage of the battery, e.g. during charging.",,,,
Vehicle.Powertrain.TractionBattery.CurrentVoltage,sensor,float,,V,,,Current Voltage of the battery.,,,,
Vehicle.Powertrain.TractionBattery.CurrentCurrent,sensor,float,,A,,,"Current current flowing in/out of battery. Positive = Current flowing in to battery, e.g. during charging. Negative = Current flowing out of battery, e.g. during driving.",,,,
Vehicle.Powertrain.TractionBattery.CurrentPower,sensor,float,,W,,,"Current electrical energy flowing in/out of battery. Positive = Energy flowing in to battery, e.g. during charging. Negative = Energy flowing out of battery, e.g. during driving.",,,,
Vehicle.Powertrain.TractionBattery.AccumulatedChargedEnergy,sensor,float,,kWh,,,The accumulated energy delivered to the battery during charging over lifetime of the battery.,,,,
Vehicle.Powertrain.TractionBattery.AccumulatedConsumedEnergy,sensor,float,,kWh,,,The accumulated energy leaving HV battery for propulsion and auxiliary loads over lifetime of the battery.,,,,
Vehicle.Powertrain.TractionBattery.AccumulatedChargedThroughput,sensor,float,,Ah,,,The accumulated charge throughput delivered to the battery during charging over lifetime of the battery.,,,,
Vehicle.Powertrain.TractionBattery.AccumulatedConsumedThroughput,sensor,float,,Ah,,,The accumulated charge throughput leaving HV battery for propulsion and auxiliary loads over lifetime of the battery.,,,,
Vehicle.Powertrain.TractionBattery.PowerLoss,sensor,float,,W,,,Electrical energy lost by power dissipation to heat inside the battery.,,,,
Vehicle.Powertrain.TractionBattery.Range,sensor,uint32,,m,,,Remaining range in meters using only battery.,,,,
Vehicle.Powertrain.TractionBattery.TimeRemaining,sensor,uint32,,s,,,Time remaining in seconds before the battery is empty.,,,,
Vehicle.Powertrain.TractionBattery.Charging,branch,,,,,,Properties related to battery charging.,,,,[]
Vehicle.Powertrain.TractionBattery.Charging.ChargingPort,branch,,,,,,Properties related to a particular charging port available in the vehicle.,"If a vehicle has a single charging port, then use the instance AnyPosition.",,,"[['FrontLeft', 'FrontMiddle', 'FrontRight', 'RearLeft', 'RearMiddle', 'RearRight', 'AnyPosition']]"
Vehicle.Powertrain.TractionBattery.Charging.ChargingPort.SupportedInletTypes,attribute,string[],,,,,"A list of the supported (i.e., available) charging inlets in a particular charging port. IEC types refer to IEC 62196,  GBT refers to  GB/T 20234.","A vehicle may have multiple charging ports. IEC_TYPE_1_AC refers to Type 1 as defined in IEC 62196-2. Also known as Yazaki or J1772 connector. IEC_TYPE_2_AC refers to Type 2 as defined in IEC 62196-2. Also known as Mennekes connector. IEC_TYPE_3_AC refers to Type 3 as defined in IEC 62196-2. Also known as Scame connector. IEC_TYPE_4_DC refers to AA configuration as defined in IEC 62196-3. Also known as Type 4 or CHAdeMO connector. IEC_TYPE_1_CCS_DC refers to EE Configuration as defined in IEC 62196-3. Also known as CCS1 or Combo1 connector. IEC_TYPE_2_CCS_DC refers to FF Configuration as defined in IEC 62196-3. Also known as CCS2 or Combo2 connector. TESLA_ROADSTER, TESLA_HPWC (High Power Wall Connector) and TESLA_SUPERCHARGER refer to non-standardized charging ports/methods used by Tesla. GBT_AC refers to connector specified in GB/T 20234.2. GBT_DC refers to connector specified in GB/T 20234.3. Also specified as BB Configuration in IEC 62196-3. OTHER shall be used for charging ports not included in the list above. For additional information see https://en.wikipedia.org/wiki/IEC_62196.","['IEC_TYPE_1_AC', 'IEC_TYPE_2_AC', 'IEC_TYPE_3_AC', 'IEC_TYPE_4_DC', 'IEC_TYPE_1_CCS_DC', 'IEC_TYPE_2_CCS_DC', 'TESLA_ROADSTER', 'TESLA_HPWC', 'TESLA_SUPERCHARGER', 'GBT_AC', 'GBT_DC', 'OTHER']",,
Vehicle.Powertrain.TractionBattery.Charging.ChargingPort.IsFlapOpen,actuator,boolean,,,,,Status of the charging port flap(s).,"True = at least one flap of this port is open, False = All flaps of this port are closed.",,,
Vehicle.Powertrain.TractionBattery.Charging.ChargingPort.IsChargingCableConnected,sensor,boolean,,,,,Indicates whether a charging cable is physically connected to a particular charging port or not.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargingPort.IsChargingCableLocked,actuator,boolean,,,,,Is charging cable locked to prevent removal.,Locking of charging cable can be used to prevent unintentional removing during charging.,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeLimit,actuator,uint8,,percent,0,100,Target charge limit (state of charge) for battery.,,,100,
Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent,branch,,,,,,"Maximum charging current that can be accepted by the system, as measured at the charging inlet.",,,,[]
Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.DC,sensor,float,,A,,,Maximum DC charging current at inlet that can be accepted by the system.,,,,
Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.Phase1,sensor,float,,A,,,Maximum AC charging current (rms) at inlet for Phase 1 that can be accepted by the system.,,,,
Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.Phase2,sensor,float,,A,,,Maximum AC charging current (rms) at inlet for Phase 2 that can be accepted by the system.,,,,
Vehicle.Powertrain.TractionBattery.Charging.MaximumChargingCurrent.Phase3,sensor,float,,A,,,Maximum AC charging current (rms) at inlet for Phase 3 that can be accepted by the system.,,,,
Vehicle.Powertrain.TractionBattery.Charging.IsCharging,sensor,boolean,,,,,True if charging is ongoing. Charging is considered to be ongoing if energy is flowing from charger to vehicle.,,,,
Vehicle.Powertrain.TractionBattery.Charging.IsDischarging,sensor,boolean,,,,,True if discharging (vehicle to grid) is ongoing. Discharging is considered to be ongoing if energy is flowing from vehicle to charger/grid.,,,,
Vehicle.Powertrain.TractionBattery.Charging.StartStopCharging,actuator,string,,,,,Start or stop the charging process.,,"['START', 'STOP']",,
Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent,branch,,,,,,Current charging current.,,,,[]
Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.DC,sensor,float,,A,,,Current DC charging current at inlet. Negative if returning energy to grid.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.Phase1,sensor,float,,A,,,Current AC charging current (rms) at inlet for Phase 1. Negative if returning energy to grid.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.Phase2,sensor,float,,A,,,Current AC charging current (rms) at inlet for Phase 2. Negative if returning energy to grid.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeCurrent.Phase3,sensor,float,,A,,,Current AC charging current (rms) at inlet for Phase 3. Negative if returning energy to grid.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeVoltage,branch,,,,,,"Current charging voltage, as measured at the charging inlet.",,,,[]
Vehicle.Powertrain.TractionBattery.Charging.ChargeVoltage.DC,sensor,float,,V,,,Current DC charging voltage at charging inlet.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeVoltage.Phase1,sensor,float,,V,,,Current AC charging voltage (rms) at inlet for Phase 1.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeVoltage.Phase2,sensor,float,,V,,,Current AC charging voltage (rms) at inlet for Phase 2.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeVoltage.Phase3,sensor,float,,V,,,Current AC charging voltage (rms) at inlet for Phase 3.,,,,
Vehicle.Powertrain.TractionBattery.Charging.AveragePower,sensor,float,,kW,,,Average charging power of last or current charging event.,,,,
Vehicle.Powertrain.TractionBattery.Charging.MaxPower,sensor,float,,kW,,,Maximum charging power of last or current charging event.,,,,
Vehicle.Powertrain.TractionBattery.Charging.EvseId,sensor,string,,,,,EVSE charging point ID (without separators) of last or current charging event according to ISO 15118-2 Annex H.,Length of id between 7 and 37 characters. ZZ00000 to be used if SECC cannot provide id,,,
Vehicle.Powertrain.TractionBattery.Charging.Location,branch,,,,,,Location of last or current charging event.,"This may depending on implementation represent the location of (the charge port of) the vehicle during charging, or the actual location of the charger/load connected to the vehicle.",,,[]
Vehicle.Powertrain.TractionBattery.Charging.Location.Latitude,sensor,double,,degrees,-90,90,Latitude of last or current charging event in WGS 84 geodetic coordinates.,,,,
Vehicle.Powertrain.TractionBattery.Charging.Location.Longitude,sensor,double,,degrees,-180,180,Longitude of last or current charging event in WGS 84 geodetic coordinates.,,,,
Vehicle.Powertrain.TractionBattery.Charging.Location.Altitude,sensor,double,,m,,,Altitude relative to WGS 84 reference ellipsoid of last or current charging event.,,,,
Vehicle.Powertrain.TractionBattery.Charging.PowerLoss,sensor,float,,W,,,Electrical energy lost by power dissipation to heat inside the AC/DC converter.,,,,
Vehicle.Powertrain.TractionBattery.Charging.Temperature,sensor,float,,celsius,,,Current temperature of AC/DC converter converting grid voltage to battery voltage.,,,,
Vehicle.Powertrain.TractionBattery.Charging.ChargeRate,sensor,float,,km/h,,,"Current charging rate, as in kilometers of range added per hour.",,,,
Vehicle.Powertrain.TractionBattery.Charging.TimeToComplete,sensor,uint32,,s,,,The time needed for the current charging process to reach Charging.ChargeLimit. 0 if charging is complete or no charging process is active or planned.,"Shall consider time set by Charging.Timer.Time. E.g. if charging shall start in 3 hours and 2 hours of charging is needed, then Charging.TimeToComplete shall report 5 hours.",,,
Vehicle.Powertrain.TractionBattery.Charging.Timer,branch,,,,,,Properties related to timing of battery charging sessions.,,,,[]
Vehicle.Powertrain.TractionBattery.Charging.Timer.Mode,actuator,string,,,,,"Defines timer mode for charging: INACTIVE - no timer set, charging may start as soon as battery is connected to a charger. START_TIME - charging shall start at Charging.Timer.Time. END_TIME - charging shall be finished (reach Charging.ChargeLimit) at Charging.Timer.Time. When charging is completed the vehicle shall change mode to 'inactive' or set a new Charging.Timer.Time. Charging shall start immediately if mode is 'starttime' or 'endtime' and Charging.Timer.Time is a time in the past.",,"['INACTIVE', 'START_TIME', 'END_TIME']",,
Vehicle.Powertrain.TractionBattery.Charging.Timer.Time,actuator,string,,iso8601,,,"Time for next charging-related action, formatted according to ISO 8601 with UTC time zone. Value has no significance if Charging.Timer.Mode is 'inactive'.",,,,
Vehicle.Powertrain.TractionBattery.DCDC,branch,,,,,,"Properties related to DC/DC converter converting high voltage (from high voltage battery) to vehicle low voltage (supply voltage, typically 12 Volts).",,,,[]
Vehicle.Powertrain.TractionBattery.DCDC.PowerLoss,sensor,float,,W,,,Electrical energy lost by power dissipation to heat inside DC/DC converter.,,,,
Vehicle.Powertrain.TractionBattery.DCDC.Temperature,sensor,float,,celsius,,,Current temperature of DC/DC converter converting battery high voltage to vehicle low voltage (typically 12 Volts).,,,,
